nom,prenom,age,absence,promotion,alternance,mobilite,instorigin,etcs,diplome,niveau,pays,entreprise,email,portable,codepostal,sexe,campus,region,status_cursus,cause,tgh,id
Amanda,Nehru Benjamin,18,2,2021,Yes,Yes,Saint-André(La reunion),10,no,1,Saint Pierre and Miquelon,Commodo Ipsum Associates,ultrices.mauris@Curabiturconsequat.org,16060619 4173,49254,1,1,bordeaux,A,MC,,1
Morgan,Salvador Rich,19,4,2021,No,No,marseille,40,no,2,Haiti,At Nisi Company,scelerisque.lorem@loremsemper.net,16530711 0972,44138,1,1,marseille,C,,,2
Emerson,Alec X. Campbell,20,9,2021,No,No,bordeaux,100,no,3,Bangladesh,Nunc Risus Varius LLP,nec.eleifend@vestibulum.net,16810802 4764,9967,1,0,lille,A,RE,,3
Raven,Felicia Beck,21,9,2021,Yes,No,nice,120,no,4,Mongolia,Nisi A Odio Foundation,eget.venenatis.a@nec.ca,16160226 8557,9912,0,1,Nantes,C,,,4
Buckminster,Channing Hardy,22,7,2021,No,No,Nantes,300,yes,5,Western Sahara,At Consulting,mauris.ipsum@imperdieteratnonummy.ca,16241128 2318,4010,0,1,nice,C,,2,5
Mara,Dacey Burton,23,6,2021,Yes,No,bordeaux,60,no,1,Czech Republic,Non Industries,orci.sem@dolor.com,16110818 8788,51842,0,1,Rennes,C,,,6
Candace,Dexter K. Santana,24,4,2021,Yes,No,Rennes,140,no,2,Zambia,Dolor PC,in.consequat.enim@nisl.com,16070319 0926,078026,0,0,paris,A,MR,,7
Sean,Driscoll Knox,25,6,2021,Yes,Yes,lyon,60,no,3,Iraq,Justo Eu Corp.,et@urnaVivamusmolestie.com,16211104 3374,3940,0,0,nantes,C,,,8
Imelda,Maisie V. Porter,26,10,2021,Yes,Yes,marseille,220,no,4,Mayotte,Vitae Nibh Limited,tempor@turpisegestas.com,16760621 9512,0568,0,0,lille,A,TF,,9
Shelley,Colleen Cohen,27,4,2021,Yes,Yes,marseille,300,yes,5,Italy,Quis Tristique Inc.,bibendum.Donec.felis@Curabiturvel.org,16510225 6608,48808-208,0,0,caen,C,,2,10
Buckminster,Ulysses N. Smith,28,1,2021,Yes,Yes,Rennes,40,no,1,Netherlands,Nec Ligula Consectetuer Company,sit.amet@nasceturridiculus.co.uk,16851101 2141,320101,1,1,mulhouse,A,MC,,11
Nigel,Kylie Clayton,29,5,2021,No,No,paris,100,no,2,Iceland,Odio Tristique Pharetra Ltd,eget.dictum@estMauris.ca,16900830 3894,04058,1,0,tours,C,,,12
Hermione,Justina Odom,38,5,2021,No,Yes,bordeaux,160,no,3,Maldives,Ullamcorper Eu Euismod Company,Sed.congue.elit@miDuis.edu,16440323 4471,203696,0,1,nice,A,RE,,13
Francesca,Rachel Barker,18,3,2021,No,No,nice,120,no,4,Ecuador,Enim Corp.,mauris@duinec.com,16661021 5581,71006,0,1,Rennes,C,,,14
Reuben,Rachel Barker,19,1,2021,No,No,bordeaux,300,yes,5,Andorra,Fermentum Vel Mauris Institute,ipsum.ac@odio.edu,16620409 8104,21891,1,0,lille,C,,1,15
Connor,Caryn H. Harris,20,5,2021,Yes,Yes,Strasbourg,20,no,1,Dominica,Dolor Ltd,lectus@turpisvitaepurus.org,16800718 7407,37335,1,1,Strasbourg,C,,,16
Wynne,Maile Santana,21,10,2021,No,No,mulhouse,60,no,2,Slovenia,Eu Tempor LLP,Curabitur.consequat@nislMaecenasmalesuada.co.uk,16651203 6218,17089,1,0,lyon,A,MR,,17
Vaughan,Dexter N. Chase,22,5,2021,No,No,Rennes,120,no,3,Nauru,Eu Tempor Institute,laoreet.posuere.enim@nonsapienmolestie.co.uk,16990819 1522,7068,0,1,marseille,C,,,18
Shelley,Richard O. Kerr,23,7,2021,Yes,Yes,Rennes,220,no,4,Kyrgyzstan,Id Inc.,tellus.Aenean.egestas@euodio.org,16530908 9802,307264,1,0,paris,A,TF,,19
Sean,Dexter K. Santana,24,3,2021,Yes,Yes,Nantes,350,yes,5,Puerto Rico,Ac Sem Industries,mus.Proin.vel@ultricesposuerecubilia.edu,16430825 1414,490276,1,0,nantes,C,,4,20
Aurora,Russell O. Love,25,7,2021,Yes,No,bordeaux,70,no,1,Netherlands,Neque Nullam Nisl PC,lorem.lorem@cursuspurusNullam.edu,16970304 3720,52834,1,1,nice,A,MC,,21
Christen,Elvis Pace,26,9,2021,Yes,No,bordeaux,20,no,2,Angola,Facilisis Magna Corporation,orci.sem.eget@quamvelsapien.com,16920121 5036,83458,1,0,caen,C,,,22
Stuart,Whoopi N. Welch,27,9,2021,No,No,nice,80,no,3,El Salvador,Urna LLP,ut.pellentesque@interdumSedauctor.net,16160514 1686,81297,0,0,lyon,A,RE,,23
Garrison,Vivien C. Walter,28,10,2021,No,No,mulhouse,120,no,4,South Georgia and The South Sandwich Islands,Id Risus Quis Incorporated,vel.convallis.in@utaliquam.edu,16431203 2537,3523 JS,1,0,tours,C,,,24
Rhoda,Ulysses N. Smith,29,8,2021,Yes,Yes,caen,300,yes,5,Western Sahara,Eleifend Cras LLP,ante.ipsum@arcuSed.org,16290517 6083,8463,1,1,bordeaux,C,,1,25
Thaddeus,Maggy Nicholson,38,10,2021,No,Yes,Rennes,50,no,1,Croatia,Lorem Company,ante.Maecenas@porttitor.net,16920202 6788,763693,1,1,marseille,C,,,26
Raven,Felix Baker,18,3,2021,No,Yes,lille,120,no,2,Moldova,Ante Company,sapien.Nunc.pulvinar@vitae.net,16240825 3355,6088,1,1,mulhouse,A,MR,,27
Amena,Dominique Chen,19,9,2021,Yes,Yes,Strasbourg,180,no,3,Malawi,Curabitur LLC,rhoncus.id@mollisPhaselluslibero.co.uk,16490626 3787,84226,1,0,caen,C,,,28
Mason,Bevis I. Hodge,20,8,2021,Yes,No,mulhouse,220,no,4,Burundi,Morbi Foundation,sem.semper@ridiculusmus.org,16320206 3495,4527,0,1,nice,A,TF,,29
Lareina,Ila Santos,21,9,2021,No,Yes,lille,350,yes,5,Nauru,Ipsum Company,consequat.purus.Maecenas@ametluctus.org,16680712 8365,489413,1,1,Rennes,C,,6,30
